Sabes cual es el colmo de...,Un artista,Tener una novia "retocada",2
Sabes cual es el colmo de...,Un artista,Subir su arte a artstaion y que una IA se lo copie,1
Sabes cual es el colmo de...,De un programador,No tener codigos,3
Sabes cual es el colmo de...,De un programador,Ninguno. Somos perfectos,1
Sabes cual es el colmo de...,De un programador,1.0101E+15,1
Te pusiste a pensar,Si el capitan Garfio como Galletas,Peter Pan?,3
Te pusiste a pensar,Si el capitan Garfio como Galletas,Solo puede comer de las redonditas con un agujero?,1
Te pusiste a pensar,Si el capitan Garfio como Galletas,Agarra el mate con el gancho?,1
Te pusiste a pensar,Si se llaman analgesicos,Por que se toman de manera oral?,2
Te pusiste a pensar,Si se llaman analgesicos,Por donde entra el GESICO,2
Te pusiste a pensar,Si se llaman analgesicos,es para el dolor de cabeza o el de.....,3
Te pusiste a pensar,Que si estas en una JAM,No estas haciendo mermelada?,2
Te pusiste a pensar,Que si estas en una JAM,No es el tema de BOB Marley JAMMING?,2
Te pusiste a pensar,Que si estas en una JAM,No es lo mismo JAMEANDO que YA ME ESTOY MEANDO,3
TOC TOC...Quien es,El adivino,QUe estoy pensando??,2
TOC TOC...Quien es,El adivino,Adivina si estoy,2
TOC TOC...Quien es,El adivino,Veo en tu futuro una puerta cerrada,2
TOC TOC...Quien es,El policia,Desacarta, descarta....,3
TOC TOC...Quien es,El policia,no señor, el ladron ya no esta aqui,2
TOC TOC...Quien es,El policia,No señor, Ya les pague este mes,2
ARO ARO ARO. Ayer pase por tu casa,Y me tiraste un flor,Flor de golpe medi,1
ARO ARO ARO. Ayer pase por tu casa,Y me tiraste un flor,La proxma tirala sin la maceta,2
ARO ARO ARO. Ayer pase por tu casa,Y me tiraste un flor,Pero no es tan linda como vos,1
ARO ARO ARO. Ayer pase por tu casa,Y me tiraste un gato,Por suerte cayo parado,2
ARO ARO ARO. Ayer pase por tu casa,Y me tiraste un gato,Una vida menos,1
ARO ARO ARO. Ayer pase por tu casa,Y me tiraste un gato,pense que era tu hermana,3
